CAS#,CAS,Substance,PrimaryMoA,MolarMass(g/mol),Tm [oC],Pvap25 [Pa],Sol25 [mg/L],Kow [-],pKa1 [-],pKb1 [-],kdeg(water) [s-1],kdeg(sed) [s-1],kdeg(soil) [s-1],OrigenQuality-Acute EC50,SelectTaxa-Acute EC50,DataType-Acute EC50,RiskEndpoint-Acute EC50,#ToxData-Acute EC50,#Species-Acute EC50,#TaxClass-Acute EC50,10LogSSDMedianConcentration(ug/L)-MuAcute EC50,10LogSSDSlope(ug/L)-SigmaAcute EC50,Remark on acute SSD slope,QualityScore-Acute EC50,Remarks-Acute EC50,OrigenQuality-Chronic NOEC,SelectTaxa-Chronic NOEC,DataType-Chronic NOEC,RiskEndpoint-Chronic NOEC,#ToxData-Chronic NOEC,#Species-Chronic NOEC,#TaxClass-Chronic NOEC,10LogSSDMedianConcentration(ug/L)-MuChronic NOEC,10LogSSDSlope(ug/L)-SigmaChronic NOEC,Remark on chronic SSD slope,QualityScore-Chronic NOEC,Remarks-Chronic NOEC,Filter
108952,108-95-2,Phenol,Polar Narcosis,94.113,-2.27,43.0559,35412,32.3593656929628,10,,9.31769664580302e-07,3.50074333616134e-07,1.13259343228749e-06,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,416,210,21,4.75,0.789,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,50,18,7,3.2142,0.9683,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,108-95-2
534521,534-52-1,"2-Methyl-4,6-dinitrophenol",dinitrophenol,198.14,121.23,0.00022661,4674.1,186.208713666287,4.2,,2.2e-09,3.50074333616134e-08,1.13259343228749e-07,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,47,12,6,3.11,0.536,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,20,14,10,3.0462,0.7366,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,534-52-1
15687271,15687-27-1,Ibuprofen,"Analgesics, Anti-inflammatory Drugs and Antipyretics",206.29,94.22,0.0247938,27.51,6165.95001861483,4.3,,1.70491627529546e-08,1.13259343228749e-07,3.50074333616134e-07,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,46,20,9,4.31,0.727,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,51,16,10,2.3803,1.8354,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,15687-27-1
1912249,1912-24-9,Atrazine,chlorotriazine,215.69,113.91,0.00381238,14.85,660.693448007597,,12.3,2.2e-09,1.13259343228749e-07,1.13259343228749e-07,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,329,134,20,3.28,1.13,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,276,95,20,1.953,0.9812,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,1912-24-9
80057,80-05-7,Bisphenol-A,Polar Narcosis,228.29,131.76,3.02591e-05,367.81,4365.15832240166,9.7,,1.27597555610034e-07,3.50074333616134e-08,1.13259343228749e-07,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,48,12,6,3.6,0.449,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,72,12,5,2.23,0.8288,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,80-05-7
330541,330-54-1,diuron,phenylurea,233.1,126.39,0.000619845,63.509,467.735141287198,13.76,15.63,8.95702927437527e-09,3.50074333616134e-08,1.13259343228749e-07,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,151,86,15,2.82,1.26,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,45,23,8,1.2689,1.0209,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,330-54-1
15307865,15307-86-5,Diclofenac,"Analgesics, Anti-inflammatory Drugs and Antipyretics",296.15,174.6,8.18462e-06,16.372,10471.285480509,4.35,,2.2e-09,1.13259343228749e-07,1.13259343228749e-07,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,32,17,8,4.31,0.628,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,49,14,7,1.9314,1.5048,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,15307-86-5
41198087,41198-08-7,Phosphorothioic acid O-(4-bromo-2-chlorophenyl) O-ethyl S-propyl ester,phenyl organothiophosphate,373.64,86.45,0.001014413,0.40758,66069.3448007597,,,3.92440057296054e-09,1.13259343228749e-07,3.50074333616134e-07,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,91,37,8,1.55,1.09,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,21,13,4,1.1087,1.6621,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,41198-08-7
114078,114-07-8,Erythromycin,bactericides,733.94,349.84,2.82596e-23,2.1519,301.995172040202,12.69,5,2.69032086252059e-07,1.13259343228749e-07,3.50074333616134e-07,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,27,17,6,4.19,1.35,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,18,11,3,2.151,2.0879,"Slope too high to be realistic, replace by 0.7",1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,114-07-8
55389,55-38-9,Fenthion,phenyl organothiophosphate,278.33,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,192,114,7,1.82,1.35,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,29,12,6,1.5478,1.8136,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,55-38-9
