Sample_Source_Name,Sample_Source_Code,Year,I2M2,Chemical,Concentration,TU
LA SENSÉE À ETAING (62),1000274,2016,0.243,100-00-5,0.03,3.70869616087488e-05
LA SENSÉE À ETAING (62),1000274,2016,0.243,1007-28-9,0.005,5.61009227150982e-07
LA SENSÉE À ETAING (62),1000274,2016,0.243,1014-69-3,0.005,7.34970663256923e-06
LA SENSÉE À ETAING (62),1000274,2016,0.243,1024-57-3,0.005,0.030893705649272
LA SENSÉE À ETAING (62),1000274,2016,0.243,10265-92-6,0.02,3.23914206191008e-05
LA SENSÉE À ETAING (62),1000274,2016,0.243,102851-06-9,0.005,0.119720908643169
LA SENSÉE À ETAING (62),1000274,2016,0.243,103055-07-8,0.03,7.85635780964267e-05
LA SENSÉE À ETAING (62),1000274,2016,0.243,103361-09-7,0.005,0.00336101154555783
LA SENSÉE À ETAING (62),1000274,2016,0.243,104040-78-0,0.02,2.56053074953061e-05
LA SENSÉE À ETAING (62),1000274,2016,0.243,104206-82-8,0.02,4.60182390370352e-06
LA SENSÉE À ETAING (62),1000274,2016,0.243,105512-06-9,0.02,5.65236235962032e-06
LA SENSÉE À ETAING (62),1000274,2016,0.243,10605-21-7,0.02,5.93102829156524e-05
LA SENSÉE À ETAING (62),1000274,2016,0.243,1085-98-9,0.005,9.68656962290978e-05
LA SENSÉE À ETAING (62),1000274,2016,0.243,1113-02-6,0.02,1.27417768723505e-05
LA SENSÉE À ETAING (62),1000274,2016,0.243,111991-09-4,0.01,2.43332433835825e-07
LA SENSÉE À ETAING (62),1000274,2016,0.243,112281-77-3,0.005,2.20632763311226e-05
LA SENSÉE À ETAING (62),1000274,2016,0.243,112410-23-8,0.02,0.000150601742109518
LA SENSÉE À ETAING (62),1000274,2016,0.243,114311-32-9,0.02,0.000915440233410173
LA SENSÉE À ETAING (62),1000274,2016,0.243,114369-43-6,0.005,4.45728089937297e-05
LA SENSÉE À ETAING (62),1000274,2016,0.243,115-29-7,0.0015,0.000388679163203199
LA SENSÉE À ETAING (62),1000274,2016,0.243,115-32-2,0.005,0.000112841799774861
LA SENSÉE À ETAING (62),1000274,2016,0.243,116-06-3,0.01,0.000115133047415582
LA SENSÉE À ETAING (62),1000274,2016,0.243,118-74-1,0.003,3.74991354173511e-05
LA SENSÉE À ETAING (62),1000274,2016,0.243,118134-30-8,0.01,0.000522757172167163
LA SENSÉE À ETAING (62),1000274,2016,0.243,1194-65-6,0.007,7.47477354777369e-06
LA SENSÉE À ETAING (62),1000274,2016,0.243,119446-68-3,0.005,0.00237941395494408
LA SENSÉE À ETAING (62),1000274,2016,0.243,120-36-5,0.02,2.45883844941876e-05
LA SENSÉE À ETAING (62),1000274,2016,0.243,120928-09-8,0.03,0.00455849260622068
LA SENSÉE À ETAING (62),1000274,2016,0.243,121-73-3,0.01,3.01995172040202e-05
LA SENSÉE À ETAING (62),1000274,2016,0.243,121-75-5,0.003,6.54366796825056e-05
LA SENSÉE À ETAING (62),1000274,2016,0.243,121552-61-2,0.005,4.75521332078696e-05
LA SENSÉE À ETAING (62),1000274,2016,0.243,122-14-5,0.003,3.98768876494705e-05
LA SENSÉE À ETAING (62),1000274,2016,0.243,122-39-4,0.03,0.000248668774881932
LA SENSÉE À ETAING (62),1000274,2016,0.243,122931-48-0,0.02,0.00195627540864597
LA SENSÉE À ETAING (62),1000274,2016,0.243,123312-89-0,0.02,3.16905659865741e-06
LA SENSÉE À ETAING (62),1000274,2016,0.243,124-40-3,10,0.00215278173472437
LA SENSÉE À ETAING (62),1000274,2016,0.243,124495-18-7,0.005,7.57477966020172e-05
LA SENSÉE À ETAING (62),1000274,2016,0.243,125116-23-6,0.005,1.94254015187264e-05
LA SENSÉE À ETAING (62),1000274,2016,0.243,126-73-8,0.005,1.3670046892528e-06
LA SENSÉE À ETAING (62),1000274,2016,0.243,126535-15-7,0.02,0.000972590438373568
LA SENSÉE À ETAING (62),1000274,2016,0.243,126833-17-8,0.005,5.80456935063091e-06
LA SENSÉE À ETAING (62),1000274,2016,0.243,128639-02-1,0.005,0.000102016402453986
LA SENSÉE À ETAING (62),1000274,2016,0.243,131341-86-1,0.02,0.000450329083348924
LA SENSÉE À ETAING (62),1000274,2016,0.243,131860-33-8,0.02,0.000264624466622674
LA SENSÉE À ETAING (62),1000274,2016,0.243,13194-48-4,0.005,6.61561166556685e-05
LA SENSÉE À ETAING (62),1000274,2016,0.243,133855-98-8,0.005,9.23357761993353e-05
LA SENSÉE À ETAING (62),1000274,2016,0.243,135590-91-9,0.005,7.26724838959157e-06
LA SENSÉE À ETAING (62),1000274,2016,0.243,13684-56-5,0.02,0.00013128950039034
LA SENSÉE À ETAING (62),1000274,2016,0.243,13684-63-4,0.02,2.37099149250909e-05
LA SENSÉE À ETAING (62),1000274,2016,0.243,138261-41-3,0.02,9.29672523718602e-05
LA SENSÉE À ETAING (62),1000274,2016,0.243,141112-29-0,0.02,0.00391137986405785
LA SENSÉE À ETAING (62),1000274,2016,0.243,141517-21-7,0.02,0.00164637967384279
LA SENSÉE À ETAING (62),1000274,2016,0.243,141776-32-1,0.02,7.42215458985852e-06
LA SENSÉE À ETAING (62),1000274,2016,0.243,1420-07-1,0.02,0.00193388210921824
LA SENSÉE À ETAING (62),1000274,2016,0.243,142459-58-3,0.02,0.000213221009729356
LA SENSÉE À ETAING (62),1000274,2016,0.243,143390-89-0,0.005,0.000268577733374332
LA SENSÉE À ETAING (62),1000274,2016,0.243,144550-06-1,0.02,1.63768358380102e-05
LA SENSÉE À ETAING (62),1000274,2016,0.243,145701-23-1,0.03,1.58935625234659e-06
LA SENSÉE À ETAING (62),1000274,2016,0.243,148-79-8,0.02,0.000140161906329359
LA SENSÉE À ETAING (62),1000274,2016,0.243,15299-99-7,0.005,3.21195908412193e-06
LA SENSÉE À ETAING (62),1000274,2016,0.243,15302-91-7,0.03,1.61109538911076e-07
LA SENSÉE À ETAING (62),1000274,2016,0.243,153719-23-4,0.03,3.72838931532274e-06
LA SENSÉE À ETAING (62),1000274,2016,0.243,15545-48-9,0.02,1.9730132220462e-05
LA SENSÉE À ETAING (62),1000274,2016,0.243,1563-66-2,0.02,0.00056810681050796
LA SENSÉE À ETAING (62),1000274,2016,0.243,158062-67-0,0.005,1.82965835987674e-07
LA SENSÉE À ETAING (62),1000274,2016,0.243,1582-09-8,0.005,0.000241974724650831
LA SENSÉE À ETAING (62),1000274,2016,0.243,15972-60-8,0.005,1.53451099419558e-05
LA SENSÉE À ETAING (62),1000274,2016,0.243,16118-49-3,0.02,1.1138584289716e-06
LA SENSÉE À ETAING (62),1000274,2016,0.243,161326-34-7,0.02,0.000221070093876569
LA SENSÉE À ETAING (62),1000274,2016,0.243,16752-77-5,0.02,0.000369513232753205
LA SENSÉE À ETAING (62),1000274,2016,0.243,1689-83-4,0.01,1.57072443536465e-05
LA SENSÉE À ETAING (62),1000274,2016,0.243,1689-84-5,0.02,6.73488207275424e-05
LA SENSÉE À ETAING (62),1000274,2016,0.243,1689-99-2,0.01,0.000270146907295725
LA SENSÉE À ETAING (62),1000274,2016,0.243,1702-17-6,0.02,2.975294748159e-06
LA SENSÉE À ETAING (62),1000274,2016,0.243,1746-81-2,0.01,3.09385531545165e-05
LA SENSÉE À ETAING (62),1000274,2016,0.243,175013-18-0,0.02,0.00135123223016831
LA SENSÉE À ETAING (62),1000274,2016,0.243,1861-40-1,0.005,0.00032898038486467
LA SENSÉE À ETAING (62),1000274,2016,0.243,18691-97-9,0.01,5.98136079781274e-05
LA SENSÉE À ETAING (62),1000274,2016,0.243,188425-85-6,0.02,5.52369888415058e-05
LA SENSÉE À ETAING (62),1000274,2016,0.243,1897-45-6,0.01,0.00124709632663939
LA SENSÉE À ETAING (62),1000274,2016,0.243,1918-00-9,0.05,1.84106874115447e-05
LA SENSÉE À ETAING (62),1000274,2016,0.243,1918-16-7,0.01,0.000219937862509677
LA SENSÉE À ETAING (62),1000274,2016,0.243,19666-30-9,0.005,0.000307871866278533
LA SENSÉE À ETAING (62),1000274,2016,0.243,2032-65-7,0.02,0.000872830664652546
LA SENSÉE À ETAING (62),1000274,2016,0.243,208465-21-8,0.02,2.57768589832044e-06
LA SENSÉE À ETAING (62),1000274,2016,0.243,2104-96-3,0.005,0.00295440482787391
LA SENSÉE À ETAING (62),1000274,2016,0.243,2163-68-0,0.02,2e-07
LA SENSÉE À ETAING (62),1000274,2016,0.243,21725-46-2,0.01,0.000916220490122
LA SENSÉE À ETAING (62),1000274,2016,0.243,219714-96-2,0.02,5.17761788363631e-05
LA SENSÉE À ETAING (62),1000274,2016,0.243,22248-79-9,0.005,0.000155585816855301
LA SENSÉE À ETAING (62),1000274,2016,0.243,2310-17-0,0.005,0.000145669961128508
LA SENSÉE À ETAING (62),1000274,2016,0.243,23103-98-2,0.02,2.92570137399971e-05
LA SENSÉE À ETAING (62),1000274,2016,0.243,2312-35-8,0.005,1.47832528254147e-05
LA SENSÉE À ETAING (62),1000274,2016,0.243,23135-22-0,0.02,7.74158694486514e-05
LA SENSÉE À ETAING (62),1000274,2016,0.243,2327-02-8,0.01,1.99526231496888e-07
LA SENSÉE À ETAING (62),1000274,2016,0.243,23564-05-8,0.02,1.97801689004213e-05
LA SENSÉE À ETAING (62),1000274,2016,0.243,24017-47-8,0.005,0.000110552865622532
LA SENSÉE À ETAING (62),1000274,2016,0.243,24934-91-6,0.005,0.000104850378927232
LA SENSÉE À ETAING (62),1000274,2016,0.243,26259-45-0,0.005,1.76876446411216e-06
LA SENSÉE À ETAING (62),1000274,2016,0.243,2642-71-9,0.005,0.00243652013312617
LA SENSÉE À ETAING (62),1000274,2016,0.243,27314-13-2,0.005,3.87052613537061e-05
LA SENSÉE À ETAING (62),1000274,2016,0.243,2764-72-9,0.02,6.34205487789578e-05
LA SENSÉE À ETAING (62),1000274,2016,0.243,2921-88-2,0.005,0.00220581966588457
LA SENSÉE À ETAING (62),1000274,2016,0.243,29232-93-7,0.005,8.36507818199323e-05
LA SENSÉE À ETAING (62),1000274,2016,0.243,298-00-0,0.005,4.40118885295672e-05
LA SENSÉE À ETAING (62),1000274,2016,0.243,298-04-4,0.005,0.000191853622746139
LA SENSÉE À ETAING (62),1000274,2016,0.243,299-84-3,0.005,0.000201729775094915
LA SENSÉE À ETAING (62),1000274,2016,0.243,301-12-2,0.02,0.000109226997501145
LA SENSÉE À ETAING (62),1000274,2016,0.243,30560-19-1,0.02,7.07017226723994e-07
LA SENSÉE À ETAING (62),1000274,2016,0.243,309-00-2,0.003,0.000570980471272905
LA SENSÉE À ETAING (62),1000274,2016,0.243,314-40-9,0.005,1.00108281079452e-06
LA SENSÉE À ETAING (62),1000274,2016,0.243,319-84-6,0.005,3.65232994760206e-05
LA SENSÉE À ETAING (62),1000274,2016,0.243,319-85-7,0.005,5.86232652291148e-05
LA SENSÉE À ETAING (62),1000274,2016,0.243,319-86-8,0.005,3.21269875018651e-05
LA SENSÉE À ETAING (62),1000274,2016,0.243,3209-22-1,0.03,8.73617358458909e-05
LA SENSÉE À ETAING (62),1000274,2016,0.243,32809-16-8,0.005,5.0207662706044e-06
LA SENSÉE À ETAING (62),1000274,2016,0.243,330-54-1,0.02,0.00107678747596873
LA SENSÉE À ETAING (62),1000274,2016,0.243,330-55-2,0.02,0.000810457033603782
